"course","title"
"http://is-concordia.io/PSYC850","Practicum in Experimental Techniques"
"http://is-concordia.io/IMCA210","Introduction to Video Production"
"http://is-concordia.io/STAT497","Topics in Statistics (Topic in 2020, 2021 - Reinforcement Learning)"
"http://is-concordia.io/BLDG492","Construction Processes"
"http://is-concordia.io/ELEC490","Capstone Electrical Engineering Design Project"
"http://is-concordia.io/THEO243","Indigenous Spirituality"
"http://is-concordia.io/ECON521","Econometrics I"
"http://is-concordia.io/EXCI352","Essentials of Exercise Testing and Training in Athletic Populations"
"http://is-concordia.io/MECH6081","Fuel Control Systems for Combustion Engines"
"http://is-concordia.io/FLIT486","Création littéraire I"
"http://is-concordia.io/PRIN451","Advanced Projects in Print Media I"
"http://is-concordia.io/WSDB494","Advanced Tutorial in Women’s Studies"
"http://is-concordia.io/MECH473","Control System Design"
"http://is-concordia.io/POLI205","Introduction to International Relations"
"http://is-concordia.io/MARK301","Marketing Management II"
"http://is-concordia.io/EAST463","Concordia Laptop Orchestra II"
"http://is-concordia.io/FTRA680","Tutorat en littérature"
"http://is-concordia.io/AHSC322","Fundamentals of Child‑ and Youth‑Care Work"
"http://is-concordia.io/ACCO495","Honours Seminar in Accountancy"
"http://is-concordia.io/COMP445","Data Communication and Computer Networks"
"http://is-concordia.io/CHEM206","General Chemistry II"
"http://is-concordia.io/ARTT470","Professional Internship"
"http://is-concordia.io/MECH7501","Design Using Composite Materials"
"http://is-concordia.io/ELEC442","Digital Signal Processing"
"http://is-concordia.io/ELEC6411","Power Electronics I"
"http://is-concordia.io/MANA668","Sustainable Business Strategy"
"http://is-concordia.io/POLI495","Honours Thesis"
"http://is-concordia.io/CIVI7311","Advanced Analysis of Groundwater Flow and Contamination"
"http://is-concordia.io/POLI480/685/815","Workshops on Social Science Research Methods"
"http://is-concordia.io/ARTX399","Special Topics in Contemporary Studio Arts Practice"
"http://is-concordia.io/PTNG300","Painting II"
"http://is-concordia.io/PHYS230","Experimental Physics I"
"http://is-concordia.io/ELEC6851","Telecommunications Networks"
"http://is-concordia.io/PHOT201","Introduction to Colour Photography"
"http://is-concordia.io/ELEC431","Electrical Power Systems"
"http://is-concordia.io/INDU480","Cases in Industrial Engineering"
"http://is-concordia.io/ELEC6601","Digital Signal Processing"
"http://is-concordia.io/EMBA630","Financial Decisions Under Uncertainty"
"http://is-concordia.io/MECH447","Fundamentals of Vehicle System Design"
"http://is-concordia.io/BLDG6581","Decision Analysis"
"http://is-concordia.io/BIOL802","Research Seminar"
"http://is-concordia.io/GEOL210","Introduction to the Earth"
"http://is-concordia.io/ENGL674","Seminar in Creative Writing: Prose Fiction, Poetry and Drama"
"http://is-concordia.io/BLDG7401","Dispersion of Building Exhaust"
"http://is-concordia.io/PERC408","Supervised Internship I"
"http://is-concordia.io/CIVI6631","Hazardous Material Management and Transportation"
"http://is-concordia.io/PHYS663","Quantitative Human Systems Physiology"
"http://is-concordia.io/INDU411","Computer Integrated Manufacturing"
"http://is-concordia.io/FINA408","Building and Testing Trading Systems Using Technical Analysis"
"http://is-concordia.io/PHIL232","Introduction to Ethics"
"http://is-concordia.io/PSYC838","Extramural Practicum II: General"
"http://is-concordia.io/URBS337","Urban Agriculture"
"http://is-concordia.io/COMP451","Database Design"
"http://is-concordia.io/CIVI6611","Environmental Engineering"
"http://is-concordia.io/PHOT482","Independent Study II"
"http://is-concordia.io/DFTT471","Advanced Elements of Production"
"http://is-concordia.io/FBRS240","Fibre Structures I"
"http://is-concordia.io/AHSC350","Leisure Education"
"http://is-concordia.io/ENGL384","Creative Writing: Playwriting"
"http://is-concordia.io/ENGL215","Editing II"
"http://is-concordia.io/COEN6551","Formal Hardware Verification"
"http://is-concordia.io/AERO490","Capstone Aerospace Engineering Design Project"
"http://is-concordia.io/HIST403","Methodology and History"
"http://is-concordia.io/ECON696","Research Methodology in Economics"
"http://is-concordia.io/AHSC610","Group Process Intervention"
"http://is-concordia.io/MAST397","Topics in Mathematics and Statistics (Topic in 2021 - Sports Analytics)"
"http://is-concordia.io/BTM496","Information Technology Strategy, Management and Sourcing"
"http://is-concordia.io/MECH6361","Mechanics of Biological Tissues"
"http://is-concordia.io/PERC422","Indigenous Story Telling"
"http://is-concordia.io/APLI604","Applied Language Studies"
"http://is-concordia.io/COMP354","Introduction to Software Engineering"
"http://is-concordia.io/ELEC6241","VLSI Process Technology"
"http://is-concordia.io/IMCA321","Electronic Arts Workshop"
"http://is-concordia.io/MECH414","Computer Numerically Controlled Machining"
"http://is-concordia.io/ENGL226","Introductory Creative Writing: Prose Fiction"
"http://is-concordia.io/IRST299","Selected Topics: Introduction to Spoken Irish"
"http://is-concordia.io/JOUR404","Magazine Writing"
"http://is-concordia.io/DFTT341","Elements of Multimedia Conception"
"http://is-concordia.io/CIVI6011","Precast and Prestressed Concrete Structures"
"http://is-concordia.io/HIST379","History Through Visual Media and Material Culture"
"http://is-concordia.io/ENCS393","Impact of information and Communication Technologies on Society"
"http://is-concordia.io/PHOT471","Professional Internship I"
"http://is-concordia.io/SOEN390","Software Engineering Team Design Project"
"http://is-concordia.io/FLIT692","Mémoire"
"http://is-concordia.io/PHIL496","Tutorial in Philosophy"
"http://is-concordia.io/COEN451","VLSI Circuit Design"
"http://is-concordia.io/RELI378","Death and Dying"
"http://is-concordia.io/FTRA528","Travaux dirigés (F)"
"http://is-concordia.io/ADED345","Evaluating Adult Learning Projects"
"http://is-concordia.io/DFTT301","Introduction to Designer's Studio: Conception"
"http://is-concordia.io/FPST297","Proseminar 1: Indigenous Ways of Knowing"
"http://is-concordia.io/ACTT372","Stage Combat"
"http://is-concordia.io/JPER323","Big Band II"
"http://is-concordia.io/AHSC533","Internship I in Youth Work"
"http://is-concordia.io/COMS376","Communication Media: Sound II"
"http://is-concordia.io/URBS484","Directed Studies / Practicum in Urban Planning II"
"http://is-concordia.io/CIVI231","Geology for Civil Engineers"
"http://is-concordia.io/ITAL201","Introductory Italian I"
"http://is-concordia.io/CERA391","Urban Clay"
"http://is-concordia.io/CIVI7401","Design of Transportation Terminals"
"http://is-concordia.io/ECON421","Econometrics I"
"http://is-concordia.io/POLI397","Internship"
"http://is-concordia.io/COMS570","Media Production: Intermedia"
"http://is-concordia.io/COEN6521","Design for Testability"
"http://is-concordia.io/SSDB428","Independent Study"
"http://is-concordia.io/URBS260","Analytical Methods in Urban Studies"
"http://is-concordia.io/SOEN341","Software Process"
"http://is-concordia.io/GEOG374","Plant Ecology"
"http://is-concordia.io/GEOG464","Programming for Geospatial Technologies"
"http://is-concordia.io/AHSC675","Introduction to Open Systems Theory"
"http://is-concordia.io/COMP6231","Distributed Systems"
"http://is-concordia.io/BIOL670","Scientific Communication"
"http://is-concordia.io/PRIN365","The Artist’s Book as Object"
"http://is-concordia.io/AHSC439","Internship in Human Relations"
"http://is-concordia.io/PTNG320","Studio/Seminar in Painting and Drawing"
"http://is-concordia.io/BLDG6951","Solar Building Modelling and Design"
"http://is-concordia.io/EDUC361","Inclusive Practices in Early Childhood Settings"
"http://is-concordia.io/SOEN491","Software Engineering Project"
"http://is-concordia.io/DRAW310","Narration, Time, Stories I"
"http://is-concordia.io/EXCI254","Human Anatomy II: Systemic Anatomy"
"http://is-concordia.io/BLDG6231","Applications of Artificial Intelligence in Building and Civil Engineering"
"http://is-concordia.io/AHSC470","Basic Human Relations Laboratory"
"http://is-concordia.io/SSDB275","Introduction to Sexuality Research"
"http://is-concordia.io/TESL426","Primary Pedagogy"
"http://is-concordia.io/PTNG410","Painting and Popular Culture II"
"http://is-concordia.io/MECH6061","Analysis and Design of Hydraulic Control Systems"
"http://is-concordia.io/PHOT400","Advanced Workshop in Photography"
"http://is-concordia.io/PTNG299","Special Topics in Painting"
"http://is-concordia.io/INDU6411","Human Factors Engineering"
"http://is-concordia.io/TESL324","Methodology I"
"http://is-concordia.io/ENCS483","Innovation and Critical Thinking in Science and Technology (also listed as ENCS 6041)"
"http://is-concordia.io/CHEM212","Analytical Chemistry for Biologists"
"http://is-concordia.io/MANA481","Introduction to Management Consulting"
"http://is-concordia.io/BSTA445","Statistical Software for Data Management and Analysis"
"http://is-concordia.io/PSYC842","Extramural Practicum III: Adult"
"http://is-concordia.io/FTRA555","Gestion de projets"
"http://is-concordia.io/GEOG363","Geographic Information Systems"
"http://is-concordia.io/FTRA636","Informatique et traduction Co-listé : FTRA 536"
"http://is-concordia.io/EMBA690","Management Consulting Project"
"http://is-concordia.io/ENGL673","Seminar in Creative Writing: Prose Fiction, Poetry and Drama"
"http://is-concordia.io/COMS484","Communication Media: Moving Images III"
"http://is-concordia.io/BIOL490","Independent Study"
"http://is-concordia.io/MECH425","Manufacturing of Composites"
